text_res_address_nbr_suffix,Count
,1996753
-1,12
-1/2,1
-2,16
-5,1
-B,1
-F,1
.5,9
`,22
``,2
02,3
03,2
04,5
05,1
06,1
08,2
09,1
1,225
"1,2",1
1/2,1977
1/21,1
1/22,1
1/2B,1
1/5,1
10,1
1018,1
1057,1
106,1
11,1
12,3
14,1
15,1
154,1
16,1
17,2
18/2,1
19,1
2,236
202,1
213,1
22,1
27,1
3,18
4,11
5,13
5202,1
6,4
7,2
701,1
8B,1
a,40
A,804
A2,1
AP,1
b,44
B,730
B3,2
Bend,1
c,3
C,101
cr,1
CR,1
D,68
e,5
E,51
E60,1
F,22
G,7
H,11
I,1
J,3
K,1
L,3
M,1
n,17
N,39
ne,1
NE,1
nw,3
NW,5
O,1
OFC,1
P,3
q,1
R,2
s,12
S,42
se,2
SE,2
sw,2
UP,1
US,2
w,16
W,27
W2,1
