precinct_part_text_designation,Count
00,5
01,1323253
011,160
015,33
01A,64
01b,70
01L,31
02,237722
021,135
025,17
02L,1
03,72538
031,101
03L,2
04,34956
05,12477
06,4968
07,2005
08,1875
09,1407
1,98498
1-4,159
10,43616
103,8
11,2292
12,1597
13,1269
14,1265
15,1742
16,632
17,277
18,405
19,17
1a,15
2,22796
2-1,75
2-5,403
20,11916
21,1315
22,1083
23,721
24,27
26,172
28,66
3,16042
3-6,215
30,3085
306,5
32,586
33,375
34,382
35,154
36,660
37,121
38,325
3a,3
4,12194
40,1435
400,3013
401,15
402,263
411,107
418,10195
419,1248
423,1846
444,239
448,1736
460,22
5,60769
5-1,1471
5-2,2
50,319
6,583
60,923
6a,1
7,137
70,664
7a,69
8,28
9,13
