polling_place_text_city,Count
,12294
Abbyville,128
Abilene,5651
Admire,356
Agra,340
Allen,331
Almena,362
Altamont,1090
Alton,194
Altoona,1069
Americus,993
Andale,1469
Andover,13513
Anthony,1905
Arcadia,338
Argonia,768
Arkansas City,7551
Arlington,530
Arma,3099
Ashland,914
Assaria,791
Atchison,9666
Atlanta,370
Attica,578
Auburn,2360
Augusta,9609
Aurora,204
Axtell,566
Baileyville,496
Baldwin City,6721
Barnes,273
Basehor,9557
Baxter Springs,3579
Beattie,323
Bel Aire,7075
Belle Plaine,2539
Belleville,1785
Beloit,3171
Belpre,157
Bennington,1067
Bentley,841
Benton,2250
Bern,564
Berryton,1618
Bird City,488
Bison,323
Blue Mound,349
Blue Rapids,1412
Bonner Springs,5260
Bronson,277
Brookville,365
Bucklin,682
Bucyrus,541
Buhler,1338
Bunker Hill,401
Burden,621
Burlingame,1504
Burlington,1806
Burns,250
Burr Oak,418
Burrton,1523
Bushton,296
Caldwell,1109
Caney,1257
Canton,735
Carbondale,1864
Carlton,444
Cassoday,432
Cawker City,386
Centerville,360
Centralia,509
Chanute,7786
Chapman,1927
Chase,567
Cheney,2427
Cherokee,829
Cherryvale,1910
Chetopa,1199
Cimarron,2559
Circleville,382
Claflin,915
Clay Center,4549
Clearwater,3357
Clifton,570
Clyde,647
Codell,119
Coffeyville,6169
Colby,5445
Coldwater,653
Colony,525
Columbus,4317
Colwich,1820
Concordia,3944
Conway Springs,1868
Corning,399
Cottonwood Falls,1873
Council Grove,2389
Courtland,540
Cuba,392
Culver,156
Cummings,445
Cunningham,566
Damar,151
De Soto,5857
Dearing,1120
Deerfield,531
Delia,520
Delphos,386
Denison,441
Denton,580
Derby,21754
Dexter,402
Dighton,968
Dodge City,14890
Douglass,1680
Dover,821
Downs,795
Dresden,113
Dwight,458
Eastborough,639
Easton,3082
Edgerton,1968
Edna,970
Edwardsville,3081
Effingham,690
El Dorado,10377
Elk City,399
Elkhart,1638
Ellinwood,1916
Ellis,1883
Ellsworth,2125
Elwood,735
Emporia,16321
Enterprise,989
Erie,1223
Eudora,5511
Eureka,2668
Fairview,1280
Fairway,1633
Falun,227
Farlington,434
Florence,423
Fontana,451
Ford,232
Fort Scott,9388
Fowler,563
Frankfort,1039
Fredonia,2194
Frontenac,3004
Fulton,655
Galena,3338
Galesburg,698
Galva,890
Garden City,19164
Garden Plain,1541
Gardner,17113
Garfield,159
Garnett,3047
Gas,1289
Gaylord,304
Geneseo,304
Geuda Springs,229
Girard,3179
Glasco,425
Glen Elder,386
Goddard,4834
Goessel,1029
Goff,279
Goodland,3754
Gorham,392
Gove,274
Grainfield,479
Grantville,1057
Great Bend,11337
Greeley,730
Greensburg,721
Gridley,678
Grinnell,343
Gypsum,1016
Haddam,225
Halstead,1813
Hamilton,409
Hanover,762
Hanston,375
Harper,1386
Hartford,523
Harveyville,423
Havana,445
Haven,1212
Haviland,563
Hays,14291
Hays      ,3013
Haysville,10007
Healy,170
Hedville,649
Hepler,355
Herington,2300
Hesston,3109
Hiawatha,3086
Highland,796
Hill City,1816
Hillsboro,2395
Hillsdale,1138
Hoisington,2833
Holcomb,1726
Holton,3562
Holyrood,398
Hope,429
Horton,1848
Howard,825
Hoxie,1536
Hoyt,1739
Hugoton,3003
Humboldt,2081
Hunter,114
Hutchinson,32815
Independence,7689
Inman,1718
Iola,4648
Jamestown,248
Jennings,133
Jetmore,917
Jewell,677
Johnson,1070
Junction City,19735
Kanopolis,550
Kansas City,84186
Kechi,2909
Kensington,617
Kincaid,492
Kingman,2856
Kinsley,1099
Kiowa,927
Kipp,263
Kirwin,163
Kismet,390
La Cygne,1920
LaCrosse,1216
Lake Quivira,914
Lakin,1710
Lancaster,634
Lane,484
Langdon,148
Lansing,8123
Larned,3388
Lawrence,67557
Le Roy,810
Leavenworth,23576
Leawood,39379
Lebanon,402
Lecompton,1263
Lenexa,45350
Lenora,298
Leon,1146
Leonardville,554
Leoti,1230
Lewis,432
Liberal,10936
Liberty,381
Lincoln,1598
Lincolnville,541
Lindsborg,2768
Linn,623
Linn Valley,943
Linwood,3581
Little River,653
Logan,456
Long Island,207
Longton,477
Lorraine,91
Louisburg,6321
Lucas,284
Lyndon,1865
Lyons,2666
Madison,845
Maize,5010
Manhattan,37816
Mankato,1089
Maple Hill,899
Mapleton,455
Marion,2223
Marquette,593
Marysville,3628
Mayetta,1787
Mayfield,207
Mc Louth,1329
McCracken,312
Mccune,574
Mcfarland,265
McPherson,10495
Meade,1457
Medicine Ldg,1954
Melvern,1283
Meriden,2745
Merriam,6571
Milford,1327
Miltonvale,421
Minneapolis,1733
Minneola,656
Mission,8786
Mission Hills,2481
Moline,576
Montezuma,840
Moran,979
Moscow,369
Mound City,1669
Mound Valley,1033
Moundridge,1873
Mount Hope,1190
Mullinville,256
Mulvane,5701
Munden,332
Murdock,907
Muscotah,589
Natoma,285
Neodesha,1771
Neosho Rapids,748
Ness City,1956
Netawaka,268
New Cambria,424
New Strawn,994
Newton,13940
Nickerson,766
Norcatur,161
North Newton,1332
Norton,2802
Nortonville,615
Norwich,745
Oberlin,1629
Offerle,189
Ogden,2993
Olathe,102921
Olpe,874
Olsburg,680
Onaga,1281
Osage City,2896
Osawatomie,4188
Osborne,1367
Oskaloosa,1521
Oswego,1447
Otis,376
Ottawa,12539
Overbrook,3042
Overland Park,142824
Oxford,1058
Ozawkie,1988
Palco,260
Paola,9991
Park City,3631
Parker,721
Parkerfield,1246
Parsons,7979
Partridge,321
Paxico,765
Peabody,986
Peck,612
Perry,1837
Phillipsburg,2676
Pittsburg,16160
Plains,1003
Plainville,1563
Pleasanton,1444
Plevna,166
Pomona,1376
Prairie View,189
Prairie Village,14560
Pratt,5748
Prescott,366
Pretty Prairie,867
Princeton,602
Protection,421
Quinter,836
Randolph,906
Rantoul,626
Reading,303
Redfield,1349
Richmond,560
Riley,843
Riverton,2132
Robinson,508
Roeland Park,5530
Rolla,392
Rosalia,445
Rose Hill,5998
Rossville,1228
Roxbury,268
Rozel,160
Russell,3141
Sabetha,2447
Salina,33322
Satanta,872
Scammon,1135
Scandia,492
Scott City,3511
Scranton,847
Sedgwick,1176
Selden,298
Seneca,2328
Severy,701
Sharon Springs,1119
Shawnee,52510
Silver Lake,2668
Smith Center,1524
Smolan,569
Soldier,393
Solomon,1384
South Haven,559
South Hutchinson,2336
Spearville,998
Spring Hill,9434
St George,3257
St John,2668
St Marys,3063
St Paul,856
Stark,284
Sterling,2363
Stilwell,4073
Stockton,1490
Sublette,1340
Summerfield,247
Sycamore,873
Sylvan Grove,528
Sylvia,231
Syracuse,1350
Talmage,990
Tampa,453
Tecumseh,3596
Tescott,283
Thayer,859
Tipton,218
Tonganoxie,8731
Topeka,102365
Toronto,368
Towanda,2384
Tribune,897
Troy,1299
Turon,313
Tyro,874
Udall,1431
Ulysses,3818
Uniontown,627
Valley Center,6270
Valley Falls,1318
Victoria,1357
Viola,3177
Wa Keeney,2058
Wakarusa,732
Wakefield,1303
Waldo,349
Walton,648
Wamego,5175
Washington,1398
Wathena,1518
Waverly,801
Wayside,263
Weir,1157
Welda,600
Wellington,6948
Wells,316
Wellsville,2294
Westmoreland,1263
Westphalia,450
Westwood,2632
Wetmore,366
White City,643
White Cloud,163
Whitewater,1738
Whiting,378
Wichita,260169
Williamsburg,950
Wilmore,53
Wilson,659
Winchester,837
Windom,126
Winfield,8890
Woodbine,357
Yates Center,1856
Yoder,408
Zenda,523
Zurich,121
