RegisterYear,Count
20,1
24,1
200,1
202,2
210,1
220,1
222,2
230,1
240,2
1202,2
1800,9
1801,8
1900,10
1901,197
1902,2
1903,1
1907,1
1908,1
1916,1
1924,1
1933,1
1941,1
1944,3
1946,3
1948,3
1949,1
1950,4
1952,16
1953,2
1954,24
1955,11
1956,90
1957,6
1958,79
1959,30
1960,335
1961,13
1962,152
1963,78
1964,619
1965,52
1966,546
1967,251
1968,1222
1969,127
1970,938
1971,383
1972,11567
1973,436
1974,4026
1975,1041
1976,6812
1977,998
1978,5717
1979,2025
1980,10245
1981,1185
1982,4911
1983,2896
1984,13498
1985,2249
1986,10059
1987,4905
1988,20009
1989,3987
1990,14949
1991,7321
1992,44999
1993,6675
1994,26929
1995,21151
1996,49555
1997,23773
1998,34598
1999,21217
2000,41576
2001,16081
2002,29314
2003,20267
2004,78929
2005,22229
2006,30827
2007,22528
2008,77234
2009,24641
2010,42337
2011,30869
2012,73705
2013,28630
2014,43235
2015,39838
2016,102285
2017,43721
2018,95756
2019,73060
2020,168410
2021,73121
2022,145564
2023,85964
2024,203887
2025,24455
