DayOfLeapYear,Count
1,6272
2,4803
3,5039
4,5206
5,5491
6,5245
7,5294
8,5141
9,5196
10,5283
11,5270
12,5267
13,5284
14,5356
15,5347
16,5226
17,5347
18,5350
19,5246
20,5479
21,5460
22,5341
23,5367
24,5298
25,5231
26,5257
27,5337
28,5396
29,5290
30,5341
31,5141
32,5530
33,5585
34,5356
35,5402
36,5380
37,5369
38,5346
39,5225
40,5467
41,5455
42,5329
43,5448
44,5265
45,5705
46,5433
47,5408
48,5355
49,5481
50,5288
51,5469
52,5440
53,5499
54,5291
55,5464
56,5452
57,5413
58,5394
59,5463
60,1258
61,5622
62,5568
63,5625
64,5436
65,5485
66,5481
67,5393
68,5408
69,5530
70,5495
71,5264
72,5386
73,5400
74,5375
75,5532
76,5262
77,5336
78,5210
79,5363
80,5316
81,5354
82,5376
83,5235
84,5348
85,5267
86,5296
87,5136
88,5250
89,5253
90,5276
91,5374
92,5029
93,5419
94,5257
95,5300
96,5392
97,5162
98,5331
99,5345
100,5038
101,5182
102,5215
103,5394
104,4954
105,5371
106,5261
107,5309
108,5221
109,5231
110,4971
111,5164
112,5074
113,5167
114,5186
115,5084
116,5029
117,5191
118,5183
119,5171
120,5156
121,5029
122,5211
123,5185
124,5308
125,5124
126,5367
127,5187
128,5184
129,5160
130,5113
131,5200
132,5124
133,5136
134,5103
135,5199
136,5231
137,5200
138,5329
139,5199
140,5195
141,5235
142,5260
143,5383
144,5386
145,5304
146,5290
147,5195
148,5208
149,5276
150,5081
151,5034
152,4970
153,5497
154,5371
155,5332
156,5332
157,5171
158,5440
159,5373
160,5395
161,5326
162,5340
163,5329
164,5374
165,5345
166,5353
167,5474
168,5450
169,5451
170,5341
171,5288
172,5378
173,5545
174,5439
175,5437
176,5509
177,5494
178,5586
179,5411
180,5533
181,5657
182,5631
183,5816
184,5591
185,5526
186,4782
187,5290
188,5596
189,6001
190,5898
191,5638
192,5630
193,5765
194,5779
195,5725
196,5660
197,5864
198,5806
199,5781
200,5777
201,5688
202,5666
203,5775
204,5706
205,5719
206,5700
207,5713
208,5782
209,5802
210,5719
211,5856
212,5755
213,5722
214,5710
215,5892
216,5736
217,5743
218,5623
219,5787
220,5672
221,5711
222,5711
223,5764
224,5789
225,5840
226,5554
227,5668
228,5831
229,5794
230,5787
231,5897
232,5728
233,5891
234,5693
235,5745
236,5840
237,5935
238,5716
239,5859
240,5796
241,5805
242,5828
243,5830
244,5787
245,5768
246,5566
247,5742
248,5553
249,5667
250,5813
251,5584
252,5850
253,5999
254,5955
255,5878
256,5914
257,5910
258,5952
259,5984
260,6115
261,6090
262,5948
263,5981
264,6025
265,6064
266,6157
267,6085
268,5987
269,5980
270,5920
271,6118
272,5957
273,5989
274,5892
275,5924
276,5993
277,5777
278,5873
279,5804
280,5818
281,5719
282,5690
283,5697
284,5838
285,5575
286,5668
287,5543
288,5694
289,5726
290,5669
291,5669
292,5642
293,5515
294,5635
295,5585
296,5561
297,5540
298,5454
299,5492
300,5313
301,5544
302,5605
303,5444
304,5328
305,5085
306,5657
307,5558
308,5481
309,5597
310,5659
311,5415
312,5453
313,5571
314,5628
315,5577
316,5398
317,5479
318,5339
319,5289
320,5425
321,5403
322,5528
323,5419
324,5424
325,5582
326,5565
327,5320
328,5256
329,5130
330,4937
331,5072
332,5119
333,5034
334,5260
335,5393
336,5425
337,5339
338,5348
339,5306
340,5267
341,5313
342,5469
343,5492
344,5374
345,5445
346,5455
347,5489
348,5353
349,5374
350,5584
351,5518
352,5656
353,5653
354,5812
355,5739
356,5510
357,5329
358,4959
359,4470
360,4243
361,4862
362,5633
363,5941
364,5967
365,5946
366,5821
